id,document,label,pos
9976970,아 더빙 진짜 짜증나네요 목소리,0,"[('아', 'Exclamation'), ('더빙', 'Noun'), ('진짜', 'Noun'), ('짜증나네요', 'Adjective'), ('목소리', 'Noun')]"
3819312,흠포스터보고 초딩영화줄오버연기조차 가볍지 않구나,1,"[('흠', 'Noun'), ('포스터', 'Noun'), ('보고', 'Noun'), ('초딩', 'Noun'), ('영화', 'Noun'), ('줄', 'Noun'), ('오버', 'Noun'), ('연기', 'Noun'), ('조차', 'Josa'), ('가볍지', 'Adjective'), ('않구나', 'Verb')]"
10265843,너무재밓었다그래서보는것을추천한다,0,"[('너', 'Modifier'), ('무재', 'Noun'), ('밓었', 'Noun'), ('다그', 'Noun'), ('래서', 'Noun'), ('보는것을', 'Verb'), ('추천', 'Noun'), ('한', 'Josa'), ('다', 'Adverb')]"
9045019,교도소 이야기구먼 솔직히 재미는 없다평점 조정,0,"[('교도소', 'Noun'), ('이야기', 'Noun'), ('구먼', 'Noun'), ('솔직히', 'Adjective'), ('재미', 'Noun'), ('는', 'Josa'), ('없다', 'Adjective'), ('평점', 'Noun'), ('조정', 'Noun')]"
6483659,사이몬페그의 익살스런 연기가 돋보였던 영화스파이더맨에서 늙어보이기만 했던 커스틴 던스트가 너무나도 이뻐보였다,1,"[('사이', 'Modifier'), ('몬페', 'Noun'), ('그', 'Determiner'), ('의', 'Noun'), ('익살스런', 'Adjective'), ('연기', 'Noun'), ('가', 'Josa'), ('돋보였던', 'Verb'), ('영화', 'Noun'), ('스파이더맨', 'Noun'), ('에서', 'Josa'), ('늙어', 'Verb'), ('보이기만', 'Verb'), ('했던', 'Verb'), ('커스틴', 'Noun'), ('던스트', 'Noun'), ('가', 'Josa'), ('너무나도', 'Adverb'), ('이뻐', 'Adjective'), ('보였다', 'Verb')]"
5403919,막 걸음마 뗀 세부터 초등학교 학년생인 살용영화ㅋㅋㅋ별반개도 아까움,0,"[('막', 'Noun'), ('걸음', 'Noun'), ('마', 'Noun'), ('뗀', 'Verb'), ('세', 'Noun'), ('부터', 'Josa'), ('초등학교', 'Noun'), ('학년', 'Noun'), ('생인', 'Noun'), ('살용', 'Verb'), ('영화', 'Noun'), ('ㅋㅋㅋ', 'KoreanParticle'), ('별', 'Modifier'), ('반개', 'Noun'), ('도', 'Josa'), ('아까', 'Adjective'), ('움', 'Noun')]"
7797314,원작의 긴장감을 제대로 살려내지못했다,0,"[('원작', 'Noun'), ('의', 'Josa'), ('긴장감', 'Noun'), ('을', 'Josa'), ('제대로', 'Noun'), ('살려내지못', 'Verb'), ('했다', 'Verb')]"
9443947,별 반개도 아깝다 욕나온다 이응경 길용우 연기생활이몇년인지정말 발로해도 그것보단 낫겟다 납치감금만반복반복이드라마는 가족도없다 연기못하는사람만모엿네,0,"[('별', 'Noun'), ('반개', 'Noun'), ('도', 'Josa'), ('아깝다', 'Adjective'), ('욕', 'Noun'), ('나온다', 'Verb'), ('이응경', 'Noun'), ('길용우', 'Noun'), ('연', 'Modifier'), ('기', 'Modifier'), ('생활', 'Noun'), ('이', 'Josa'), ('몇', 'Modifier'), ('년', 'Noun'), ('인지', 'Josa'), ('정말', 'Noun'), ('발', 'Noun'), ('로', 'Josa'), ('해도', 'Noun'), ('그것', 'Noun'), ('보단', 'Josa'), ('낫겟다', 'Verb'), ('납치', 'Noun'), ('감금', 'Noun'), ('만', 'Josa'), ('반복', 'Noun'), ('반복', 'Noun'), ('이', 'Josa'), ('드라마', 'Noun'), ('는', 'Josa'), ('가족', 'Noun'), ('도', 'Josa'), ('없다', 'Adjective'), ('연기', 'Noun'), ('못', 'VerbPrefix'), ('하는', 'Verb'), ('사람', 'Noun'), ('만', 'Josa'), ('모', 'Modifier'), ('엿', 'Modifier'), ('네', 'Noun')]"
7156791,액션이 없는데도 재미 있는 몇안되는 영화,1,"[('액션', 'Noun'), ('이', 'Josa'), ('없는데도', 'Adjective'), ('재미', 'Noun'), ('있는', 'Adjective'), ('몇', 'Noun'), ('안되는', 'Adjective'), ('영화', 'Noun')]"
5912145,왜케 평점이 낮은건데 꽤 볼만한데 헐리우드식 화려함에만 너무 길들여져 있나,1,"[('왜케', 'Noun'), ('평점', 'Noun'), ('이', 'Josa'), ('낮은건데', 'Adjective'), ('꽤', 'Noun'), ('볼', 'Noun'), ('만', 'Josa'), ('한', 'Determiner'), ('데', 'Noun'), ('헐리우드', 'Noun'), ('식', 'Suffix'), ('화려함에만', 'Adjective'), ('너무', 'Adverb'), ('길들여져', 'Verb'), ('있나', 'Adjective')]"
